capsule,dtypes,failure_plane,family,input_elements,kind,l2_cycles,l2_engine,l2_sim_s,l2_status,l2_wall_s,l3_cycles,l3_engine,l3_evidence,l3_sim_s,l3_status,l3_wall_s,max_tensor_elements,numeric_status,operation,required_tiers,shape_regime,shape_signature,status,target
SY_elementwise_map_bf16_aligned,bf16,,elementwise map,2048,isa,26866,atlas-arc-arcilator-cosim,603.2951618649968,pass,603.341,26866,gsim,fresh pass,0.1200212100011413,pass,0.211,2048,pass,gelu,L0+L1+L2+L3,aligned,32x64,pass,atlas
SY_elementwise_map_bf16_partial,bf16,,elementwise map,2016,isa,38764,atlas-arc-arcilator-cosim,627.8144098989942,pass,627.857,38764,gsim,fresh pass,0.1898555869993288,pass,0.266,2016,pass,gelu,L0+L1+L2+L3,partial tile,32x63,pass,atlas
SY_elementwise_map_bf16_sub_tile,bf16,,elementwise map,32,isa,907,atlas-arc-arcilator-cosim,33.877448104001814,pass,34.073,907,gsim,fresh pass,0.06701004499336705,pass,0.575,32,pass,gelu,L0+L1+L2+L3,sub-tile,4x8,pass,atlas
SY_elementwise_map_fp8_e4m3_partial,fp8_e4m3,,elementwise map,1023,isa,24105,atlas-arc-arcilator-cosim,529.7221139780013,pass,529.777,24105,gsim,fresh pass,0.2296141170008923,pass,0.37,992,pass,bias_add,L0+L1+L2+L3,partial tile,32x31 + 31,pass,atlas
SY_elementwise_map_fp8_e4m3_sub_tile,fp8_e4m3,,elementwise map,40,isa,1031,atlas-arc-arcilator-cosim,38.914615501998924,pass,39.04,1031,gsim,fresh pass,0.0539427909970982,pass,0.632,32,pass,bias_add,L0+L1+L2+L3,sub-tile,4x8 + 8,pass,atlas
SY_epilogue_bias_add,bf16+fp8_e4m3,,contraction,4128,layer,2410,atlas-arc-arcilator-cosim,78.89213012099935,pass,78.914,2410,gsim,fresh pass,0.051261068001622334,pass,0.1,2048,pass,matmul,L0+L1+L2+L3,aligned,64x32 + 32x64 + 32,pass,atlas
SY_epilogue_relu,fp8_e4m3,,contraction,4096,layer,2478,atlas-arc-arcilator-cosim,58.711198031000094,pass,58.729,2478,gsim,fresh pass,0.08688869799516397,pass,0.257,2048,pass,matmul,L0+L1+L2+L3,aligned,64x32 + 32x64,pass,atlas
SY_geometry_gemv_like,fp8_e4m3,program_did_not_halt,contraction,256256,isa,,,,fail,,,,failed,,fail,,256000,skipped,matmul,L0+L1+L2,GEMV-like,256x1000 + 1x256,fail,atlas
SY_geometry_odd_tail_heavy,fp8_e4m3,program_did_not_halt,contraction,246784,isa,,,,fail,,,,failed,,fail,,196608,skipped,matmul,L0+L1+L2,odd tail,256x768 + 196x256,fail,atlas
SY_geometry_squareish_gemm,fp8_e4m3,program_did_not_halt,contraction,462848,isa,,,,fail,,,,failed,,fail,,262144,skipped,matmul,L0+L1+L2,square,1024x256 + 196x1024,fail,atlas
SY_geometry_tall_skinny,fp8_e4m3,program_did_not_halt,contraction,294912,isa,,,,fail,,,,failed,,fail,,262144,skipped,matmul,L0+L1+L2,tall-skinny,256x128 + 1024x256,fail,atlas
SY_host_lane_elementwise_map_f32,f32,,elementwise map,2048,model_slice,36937,atlas-arc-arcilator-cosim,571.8124622699979,pass,572.301,36937,gsim,fresh pass,0.8437872829963453,pass,9.988,2048,pass,gelu,L0+L1+L2+L3,aligned,32x64,pass,atlas
SY_host_lane_softmax_bf16,bf16,,softmax,2048,model_slice,27478,atlas-arc-arcilator-cosim,513.022285967003,pass,513.579,27478,gsim,fresh pass,0.6842956309992587,pass,8.499,2048,pass,softmax,L0+L1+L2+L3,aligned,32x64,pass,atlas
SY_movement_bf16_aligned,bf16,,movement,1024,isa,23263,atlas-arc-arcilator-cosim,489.3164925210003,pass,490.077,23263,gsim,fresh pass,0.7127629099995829,pass,9.843,1024,pass,movement,L0+L1+L2+L3,aligned,32x32,pass,atlas
SY_movement_bf16_partial,bf16,,movement,992,isa,25627,atlas-arc-arcilator-cosim,498.49449354499666,pass,498.847,25627,gsim,fresh pass,0.5925885409960756,pass,10.619,992,pass,movement,L0+L1+L2+L3,partial tile,32x31,pass,atlas
SY_movement_bf16_sub_tile,bf16,,movement,32,isa,1075,atlas-arc-arcilator-cosim,37.48494945499988,pass,37.907,1075,gsim,fresh pass,0.16393525299645262,pass,8.527,32,pass,movement,L0+L1+L2+L3,sub-tile,4x8,pass,atlas
SY_movement_fp8_e4m3_aligned,fp8_e4m3,,movement,1024,isa,6707,atlas-arc-arcilator-cosim,165.65710164800112,pass,165.81,6707,gsim,fresh pass,0.13436321999324718,pass,1.699,1024,pass,movement,L0+L1+L2+L3,aligned,32x32,pass,atlas
SY_movement_fp8_e4m3_partial,fp8_e4m3,,movement,992,isa,19910,atlas-arc-arcilator-cosim,388.74734287900355,pass,389.098,19910,gsim,fresh pass,0.5531043009978021,pass,0.917,992,pass,movement,L0+L1+L2+L3,partial tile,32x31,pass,atlas
SY_movement_fp8_e4m3_sub_tile,fp8_e4m3,,movement,32,isa,692,atlas-arc-arcilator-cosim,21.052254567999626,pass,21.383,692,gsim,fresh pass,0.22284306300571188,pass,6.674,32,pass,movement,L0+L1+L2+L3,sub-tile,4x8,pass,atlas
SY_rank_contraction_batched,fp8_e4m3,L3,contraction,8192,model_slice,16153,atlas-arc-arcilator-cosim,325.0226153830008,fail,325.762,16153,gsim,failed,0.7842423129986855,fail,5.764,4096,fail,gemv_batched,L0+L1+L2+L3,skewed,2x64x32 + 2x32x64,fail,atlas
AX0_interop_vector_unit,i64,model,contraction,8,model,,,,,,,,not passed,,,,8,,model,L0+L1+L2+L3,skewed,1x8,incomplete,atlas
AX1_interop_rvv_lane,i64,model,contraction,8,model,,,,,,,,not passed,,,,8,,model,L0+L1+L2+L3,skewed,1x8,incomplete,atlas
M0_small_llama_atlas,i64,model,contraction,8,model,,,,,,,,not passed,,,,8,,model,L0+L1+L2+L3,skewed,1x8,incomplete,atlas
M1_lstmnetvit_atlas,f32,model,contraction,6173,model,,,,,,,,not passed,,,,5400,,model,L0+L1+L2+L3,skewed,1x1x60x90 + 1x1 + 1x4 + 3x128 + 3x128,incomplete,atlas
