workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
rdt,attention_contraction,67x64x4096,67,64,4096,1,17563648,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x67x67,67,67,67,4,300763,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x67x64,67,67,64,2,287296,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x64x67,67,64,67,2,287296,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x1x4096,67,1,4096,2,274432,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x67x32,67,67,32,3,143648,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x32x64,67,32,64,1,137216,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x64x32,67,64,32,1,137216,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x1x67,67,1,67,4,4489,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x1x32,67,1,32,2,2144,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,4096x4096x2048,4096,4096,2048,1,34359738368,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,67x2048x2048,67,2048,2048,11,281018368,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,67x6144x2048,67,6144,2048,2,843055104,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,32x4096x2048,32,4096,2048,1,268435456,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,64x2048x256,64,2048,256,1,33554432,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,67x128x2048,67,128,2048,1,17563648,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,1x2048x2048,1,2048,2048,2,4194304,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,linear_gemm,1x2048x256,1,2048,256,2,524288,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,28x2816x1024,28,2816,1024,4,80740352,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,28x1024x1024,28,1024,1024,10,29360128,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,28x1024x2816,28,1024,2816,2,80740352,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
