[gsim-emu] zero-init 587928 register words
[gsim-probe post-reset] rocket_pc=0x0 muon_c0t0_currPC=0x10000000 muon_minstret[c0t0=0 c0t1=0 c1t0=0 c1t1=0] muon_be_reset=1
[gsim-emu] reset done, running (max_cycles=2000000)
[gsim-fetch cyc=160] currPC=0x10000000 icacheWordNode.a.valid=1 icacheInFlights=0x73208add4a7c be_reset=0
[gsim-probe tick] rocket_pc=0x100b8 muon_c0t0_currPC=0x10000018 muon_minstret[c0t0=0 c0t1=0 c1t0=0 c1t1=0] muon_be_reset=0
[gsim-ar] #0 addr=0x80000000
[gsim-ar] #1 addr=0x110000000
[gsim-ar] #2 addr=0x8007ffe0
[gsim-ar] #3 addr=0x110000020
[gsim-ar] #4 addr=0x80001000
[gsim-ar] #5 addr=0x110004000
[gsim-ar] #6 addr=0x80000020
[gsim-ar] #7 addr=0x110004020
[gsim-ar] #8 addr=0x110000040
[gsim-ar] #9 addr=0x110000060
[gsim-ar] #10 addr=0x110002000
[gsim-ar] #11 addr=0x110002020
[gsim-ar] #12 addr=0x110002040
[gsim-ar] #13 addr=0x110002060
[gsim-ar] #14 addr=0x110002080
[gsim-ar] #15 addr=0x110000080
[gsim-ar] #16 addr=0x1100020c0
[gsim-ar] #17 addr=0x1100020e0
[gsim-ar] #18 addr=0x110002100
[gsim-ar] #19 addr=0x1100000a0
[gsim-ar] #20 addr=0x110002120
[gsim-ar] #21 addr=0x17effffc0
[gsim-ar] #22 addr=0x17effffe0
[gsim-ar] #23 addr=0x110002140
[gsim-ar] #24 addr=0x110002160
[gsim-ar] #25 addr=0x110002180
[gsim-ar] #26 addr=0x1100021a0
[gsim-ar] #27 addr=0x1100021c0
[gsim-ar] #28 addr=0x1100021e0
[gsim-ar] #29 addr=0x110002200
[gsim-ar] #30 addr=0x17efffbc0
[gsim-ar] #31 addr=0x17efffbe0
[gsim-ar] #32 addr=0x110002220
[gsim-ar] #33 addr=0x110002240
[gsim-ar] #34 addr=0x110002260
[gsim-ar] #35 addr=0x110002280
[gsim-ar] #36 addr=0x17efffc00
[gsim-ar] #37 addr=0x17efffc20
[gsim-ar] #38 addr=0x1100022a0
[gsim-ar] #39 addr=0x1100022c0
[gsim-probe tick] rocket_pc=0x8000002a muon_c0t0_currPC=0x10002568 muon_minstret[c0t0=167 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000001c muon_c0t0_currPC=0x10002af8 muon_minstret[c0t0=344 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
